session_key,meeting_key,driver_number,lap_number,gap_to_leader,interval
202312291,1229,16,1,0.0,0.0
202312291,1229,44,1,0.183,0.183
202312291,1229,4,1,0.55,0.367
202312291,1229,81,1,0.677,0.126
202312291,1229,1,1,0.938,0.261
202312291,1229,30,1,1.055,0.117
202312291,1229,63,1,1.263,0.208
202312291,1229,12,1,1.755,0.492
202312291,1229,14,1,2.241,0.486
202312291,1229,18,1,2.738,0.496
202312291,1229,55,1,3.1,0.363
202312291,1229,23,1,3.32,0.22
202312291,1229,10,1,3.672,0.352
202312291,1229,7,1,4.054,0.381
202312291,1229,22,1,4.314,0.261
202312291,1229,20,1,4.534,0.219
202312291,1229,31,1,4.825,0.292
202312291,1229,87,1,5.127,0.302
202312291,1229,27,1,5.249,0.122
202312291,1229,5,1,5.355,0.106
202312291,1229,16,2,0.0,0.0
202312291,1229,44,2,0.918,0.918
202312291,1229,4,2,1.512,0.594
202312291,1229,81,2,2.405,0.893
202312291,1229,1,2,3.294,0.889
202312291,1229,30,2,4.219,0.925
202312291,1229,63,2,4.792,0.573
202312291,1229,12,2,5.589,0.797
202312291,1229,14,2,6.488,0.899
202312291,1229,18,2,7.191,0.703
202312291,1229,55,2,7.604,0.413
202312291,1229,23,2,7.869,0.265
202312291,1229,10,2,8.766,0.896
202312291,1229,7,2,9.342,0.577
202312291,1229,22,2,9.604,0.262
202312291,1229,20,2,10.424,0.82
202312291,1229,31,2,11.106,0.682
202312291,1229,87,2,11.315,0.209
202312291,1229,27,2,11.958,0.643
202312291,1229,5,2,12.477,0.519
202312291,1229,16,3,0.0,0.0
202312291,1229,44,3,0.583,0.583
202312291,1229,4,3,1.268,0.685
202312291,1229,81,3,1.813,0.545
202312291,1229,1,3,2.142,0.328
202312291,1229,30,3,3.437,1.295
202312291,1229,63,3,4.354,0.918
202312291,1229,12,3,5.345,0.991
202312291,1229,14,3,6.325,0.98
202312291,1229,18,3,7.129,0.804
202312291,1229,55,3,7.996,0.866
202312291,1229,23,3,9.022,1.027
202312291,1229,10,3,9.649,0.627
202312291,1229,7,3,10.83,1.181
202312291,1229,22,3,11.141,0.311
202312291,1229,20,3,11.933,0.792
202312291,1229,31,3,13.14,1.207
202312291,1229,87,3,14.284,1.144
202312291,1229,27,3,15.202,0.918
202312291,1229,5,3,16.111,0.909
202312291,1229,16,4,0.0,0.0
202312291,1229,44,4,0.417,0.417
202312291,1229,4,4,0.825,0.408
202312291,1229,81,4,2.439,1.614
202312291,1229,1,4,3.452,1.014
202312291,1229,30,4,3.862,0.409
202312291,1229,63,4,5.512,1.65
202312291,1229,12,4,6.002,0.489
202312291,1229,14,4,7.072,1.071
202312291,1229,18,4,8.083,1.011
202312291,1229,55,4,9.261,1.178
202312291,1229,23,4,10.166,0.905
202312291,1229,10,4,10.897,0.73
202312291,1229,7,4,12.128,1.231
202312291,1229,22,4,13.168,1.04
202312291,1229,20,4,14.207,1.039
202312291,1229,31,4,16.125,1.919
202312291,1229,87,4,16.707,0.582
202312291,1229,27,4,18.024,1.317
202312291,1229,5,4,19.36,1.335
202312291,1229,16,5,0.0,0.0
202312291,1229,44,5,0.976,0.976
202312291,1229,4,5,1.886,0.91
202312291,1229,81,5,3.235,1.35
