meeting_key,meeting_name,length_km,corners,downforce,avg_speed
1229,GP do Bahrein,5.412,15,4,220
1230,GP da Arábia Saudita,6.174,27,2,252
1231,GP da Austrália,5.278,14,3,240
1232,GP do Japão,5.807,18,4,235
1233,GP da China,5.451,16,3,210
1234,GP de Miami,5.412,19,3,222
1235,GP da Emilia-Romagna,4.909,19,4,235
1236,GP de Mônaco,3.337,19,5,171
1237,GP do Canadá,4.361,14,2,218
1238,GP da Espanha,4.657,14,4,230
1239,GP da Áustria,4.318,10,3,245
1240,GP da Grã-Bretanha,5.891,18,4,248
1241,GP da Hungria,4.381,14,5,205
1242,GP da Bélgica,7.004,19,2,245
1243,GP da Holanda,4.259,14,4,220
1244,GP da Itália,5.793,11,1,264
1245,GP do Azerbaijão,6.003,20,1,215
1246,GP de Singapura,4.94,19,5,195
1247,GP dos EUA,5.513,20,4,220
1248,GP do México,4.304,17,5,205
1250,GP de São Paulo,4.309,15,3,228
1251,GP de Las Vegas,6.201,17,1,242
1252,GP do Catar,5.419,16,4,242
1253,GP de Abu Dhabi,5.281,16,3,230
