session_key,meeting_key,driver_number,lap_number,duration,stop_number
202412291,1229,4,28,24.09,1
202412291,1229,81,26,23.631,1
202412291,1229,16,14,23.067,1
202412291,1229,16,40,23.644,2
202412291,1229,44,30,22.626,1
202412291,1229,1,10,24.92,1
202412291,1229,30,32,23.287,1
202412291,1229,63,33,22.836,1
202412291,1229,63,22,23.165,2
202412291,1229,12,46,24.198,1
202412291,1229,12,23,23.148,2
202412291,1229,14,37,24.162,1
202412291,1229,18,11,22.845,1
202412291,1229,18,12,24.889,2
202412291,1229,55,26,24.798,1
202412291,1229,55,31,23.682,2
202412291,1229,23,37,24.561,1
202412291,1229,23,38,23.716,2
202412291,1229,10,40,25.215,1
202412291,1229,7,21,25.072,1
202412291,1229,7,15,23.147,2
202412291,1229,31,19,23.791,1
202412291,1229,87,44,25.02,1
202412291,1229,22,33,23.281,1
202412291,1229,20,42,23.377,1
202412291,1229,27,19,24.334,1
202412291,1229,5,39,25.197,1
202412291,1229,5,29,22.886,2
202412301,1230,4,11,24.782,1
202412301,1230,81,45,24.37,1
202412301,1230,81,43,23.251,2
202412301,1230,16,18,24.607,1
202412301,1230,44,23,23.461,1
202412301,1230,1,19,24.537,1
202412301,1230,1,40,25.099,2
202412301,1230,30,41,25.753,1
202412301,1230,63,18,23.199,1
202412301,1230,63,21,25.743,2
202412301,1230,12,13,23.251,1
202412301,1230,12,25,22.977,2
202412301,1230,14,24,25.336,1
202412301,1230,14,10,22.758,2
202412301,1230,18,31,23.501,1
202412301,1230,55,48,22.698,1
202412301,1230,23,17,25.49,1
202412301,1230,23,10,23.827,2
202412301,1230,10,49,24.512,1
202412301,1230,7,22,24.334,1
202412301,1230,31,15,26.098,1
202412301,1230,87,30,24.722,1
202412301,1230,22,47,22.722,1
202412301,1230,22,10,26.079,2
202412301,1230,20,39,24.835,1
202412301,1230,20,40,21.647,2
202412301,1230,27,10,26.264,1
202412301,1230,27,24,22.376,2
202412301,1230,5,40,23.374,1
202412311,1231,4,14,23.219,1
202412311,1231,81,28,24.67,1
202412311,1231,81,29,24.666,2
202412311,1231,16,28,23.026,1
202412311,1231,44,27,24.592,1
202412311,1231,44,32,23.569,2
202412311,1231,1,25,23.01,1
202412311,1231,1,25,25.048,2
202412311,1231,30,35,25.73,1
202412311,1231,63,23,23.044,1
202412311,1231,63,25,23.952,2
202412311,1231,12,29,23.824,1
202412311,1231,12,32,24.331,2
202412311,1231,14,16,23.677,1
202412311,1231,18,41,25.832,1
202412311,1231,55,30,23.073,1
202412311,1231,23,22,25.712,1
202412311,1231,10,39,25.31,1
202412311,1231,7,38,25.074,1
202412311,1231,31,21,22.617,1
202412311,1231,87,45,21.066,1
202412311,1231,87,25,23.308,2
202412311,1231,22,34,22.363,1
202412311,1231,20,32,24.347,1
202412311,1231,20,47,23.513,2
202412311,1231,27,27,25.368,1
202412311,1231,27,49,24.364,2
202412311,1231,5,31,22.822,1
202412321,1232,4,11,24.087,1
202412321,1232,81,44,23.043,1
202412321,1232,81,44,24.001,2
202412321,1232,16,26,24.907,1
202412321,1232,16,22,26.944,2
