session_key,meeting_key,driver_number,position,q1,q2,q3
202412290,1229,81,1,80.046,79.754,79.741
202412290,1229,44,2,80.141,79.857,79.805
202412290,1229,16,3,80.297,80.063,79.783
202412290,1229,4,4,80.33,80.113,79.844
202412290,1229,12,5,80.318,80.228,80.034
202412290,1229,63,6,80.482,80.299,80.168
202412290,1229,30,7,80.701,80.4,80.221
202412290,1229,1,8,80.78,80.503,80.321
202412290,1229,23,9,80.741,80.612,80.384
202412290,1229,55,10,80.91,80.616,80.493
202412290,1229,18,11,80.999,80.707,
202412290,1229,14,12,81.111,80.918,
202412290,1229,10,13,81.144,80.964,
202412290,1229,22,14,81.299,81.077,
202412290,1229,7,15,81.383,81.172,
202412290,1229,87,16,81.563,,
202412290,1229,20,17,81.605,,
202412290,1229,31,18,81.716,,
202412290,1229,5,19,81.805,,
202412290,1229,27,20,81.835,,
202412300,1230,30,1,79.923,79.725,79.527
202412300,1230,16,2,80.122,79.935,79.669
202412300,1230,1,3,80.179,79.938,79.688
202412300,1230,4,4,80.297,79.98,79.952
202412300,1230,81,5,80.34,80.122,79.945
202412300,1230,12,6,80.576,80.293,80.087
202412300,1230,44,7,80.577,80.38,80.162
202412300,1230,63,8,80.739,80.527,80.268
202412300,1230,14,9,80.827,80.614,80.457
202412300,1230,18,10,80.865,80.677,80.471
202412300,1230,23,11,80.974,80.862,
202412300,1230,55,12,81.203,80.919,
202412300,1230,7,13,81.324,81.029,
202412300,1230,10,14,81.255,81.086,
202412300,1230,20,15,81.371,81.255,
202412300,1230,87,16,81.545,,
202412300,1230,31,17,81.628,,
202412300,1230,22,18,81.698,,
202412300,1230,27,19,81.811,,
202412300,1230,5,20,81.826,,
202412310,1231,1,1,79.996,79.881,79.606
202412310,1231,81,2,80.065,79.789,79.676
202412310,1231,44,3,80.241,79.95,79.757
202412310,1231,4,4,80.366,80.11,79.867
202412310,1231,12,5,80.31,80.072,79.935
202412310,1231,16,6,80.474,80.301,80.023
202412310,1231,30,7,80.643,80.399,80.243
