session_key,meeting_key,date,session_name,session_type
202412291,1229,2024-03-01,Race,Race
202412290,1229,2024-02-28,Qualifying,Qualifying
202412301,1230,2024-03-01,Race,Race
202412300,1230,2024-02-28,Qualifying,Qualifying
202412311,1231,2024-03-01,Race,Race
202412310,1231,2024-02-28,Qualifying,Qualifying
202412321,1232,2024-03-01,Race,Race
202412320,1232,2024-02-28,Qualifying,Qualifying
202412331,1233,2024-03-01,Race,Race
202412330,1233,2024-02-28,Qualifying,Qualifying
202412341,1234,2024-03-01,Race,Race
202412340,1234,2024-02-28,Qualifying,Qualifying
202412351,1235,2024-03-01,Race,Race
202412350,1235,2024-02-28,Qualifying,Qualifying
202412361,1236,2024-03-01,Race,Race
202412360,1236,2024-02-28,Qualifying,Qualifying
202412371,1237,2024-03-01,Race,Race
202412370,1237,2024-02-28,Qualifying,Qualifying
202412381,1238,2024-03-01,Race,Race
202412380,1238,2024-02-28,Qualifying,Qualifying
202412391,1239,2024-03-01,Race,Race
202412390,1239,2024-02-28,Qualifying,Qualifying
202412401,1240,2024-03-01,Race,Race
202412400,1240,2024-02-28,Qualifying,Qualifying
202412411,1241,2024-03-01,Race,Race
202412410,1241,2024-02-28,Qualifying,Qualifying
202412421,1242,2024-03-01,Race,Race
202412420,1242,2024-02-28,Qualifying,Qualifying
202412431,1243,2024-03-01,Race,Race
202412430,1243,2024-02-28,Qualifying,Qualifying
202412441,1244,2024-03-01,Race,Race
202412440,1244,2024-02-28,Qualifying,Qualifying
202412451,1245,2024-03-01,Race,Race
202412450,1245,2024-02-28,Qualifying,Qualifying
202412461,1246,2024-03-01,Race,Race
202412460,1246,2024-02-28,Qualifying,Qualifying
202412471,1247,2024-03-01,Race,Race
202412470,1247,2024-02-28,Qualifying,Qualifying
202412481,1248,2024-03-01,Race,Race
202412480,1248,2024-02-28,Qualifying,Qualifying
202412501,1250,2024-03-01,Race,Race
202412500,1250,2024-02-28,Qualifying,Qualifying
202412511,1251,2024-03-01,Race,Race
202412510,1251,2024-02-28,Qualifying,Qualifying
202412521,1252,2024-03-01,Race,Race
202412520,1252,2024-02-28,Qualifying,Qualifying
202412531,1253,2024-03-01,Race,Race
202412530,1253,2024-02-28,Qualifying,Qualifying
