meeting_key,session_key,year,rainfall,track_temperature,air_temperature
1229,202312291,2023,0.0,40.0,25.0
1229,202312292,2023,1.0,20.0,18.0
1230,202312301,2023,0.0,40.0,25.0
1230,202312302,2023,1.0,20.0,18.0
1231,202312311,2023,0.0,40.0,25.0
1231,202312312,2023,1.0,20.0,18.0
1232,202312321,2023,0.0,40.0,25.0
1232,202312322,2023,1.0,20.0,18.0
1233,202312331,2023,0.0,40.0,25.0
1233,202312332,2023,1.0,20.0,18.0
1234,202312341,2023,0.0,40.0,25.0
1234,202312342,2023,1.0,20.0,18.0
1235,202312351,2023,0.0,40.0,25.0
1235,202312352,2023,1.0,20.0,18.0
1236,202312361,2023,0.0,40.0,25.0
1236,202312362,2023,1.0,20.0,18.0
1237,202312371,2023,0.0,40.0,25.0
1237,202312372,2023,1.0,20.0,18.0
1238,202312381,2023,0.0,40.0,25.0
1238,202312382,2023,1.0,20.0,18.0
1239,202312391,2023,0.0,40.0,25.0
1239,202312392,2023,1.0,20.0,18.0
1240,202312401,2023,0.0,40.0,25.0
1240,202312402,2023,1.0,20.0,18.0
1241,202312411,2023,0.0,40.0,25.0
1241,202312412,2023,1.0,20.0,18.0
1242,202312421,2023,0.0,40.0,25.0
1242,202312422,2023,1.0,20.0,18.0
1243,202312431,2023,0.0,40.0,25.0
1243,202312432,2023,1.0,20.0,18.0
1244,202312441,2023,0.0,40.0,25.0
1244,202312442,2023,1.0,20.0,18.0
1245,202312451,2023,0.0,40.0,25.0
1245,202312452,2023,1.0,20.0,18.0
1246,202312461,2023,0.0,40.0,25.0
1246,202312462,2023,1.0,20.0,18.0
1247,202312471,2023,0.0,40.0,25.0
1247,202312472,2023,1.0,20.0,18.0
1248,202312481,2023,0.0,40.0,25.0
1248,202312482,2023,1.0,20.0,18.0
1250,202312501,2023,0.0,40.0,25.0
1250,202312502,2023,1.0,20.0,18.0
1251,202312511,2023,0.0,40.0,25.0
1251,202312512,2023,1.0,20.0,18.0
1252,202312521,2023,0.0,40.0,25.0
1252,202312522,2023,1.0,20.0,18.0
1253,202312531,2023,0.0,40.0,25.0
1253,202312532,2023,1.0,20.0,18.0
